year,countyfips,State,est,naics
2009,01003,AL,3,623220
2010,01003,AL,3,623220
2012,01003,AL,1,623220
2013,01003,AL,1,623220
2014,01003,AL,1,623220
2015,01003,AL,5,623220
2016,01003,AL,5,623220
2009,01005,AL,1,623220
2012,01007,AL,1,623220
2013,01007,AL,1,623220
2014,01007,AL,1,623220
2015,01007,AL,1,623220
2016,01007,AL,1,623220
2009,01015,AL,2,623220
2010,01015,AL,1,623220
2011,01015,AL,1,623220
2012,01015,AL,1,623220
2013,01015,AL,1,623220
2014,01015,AL,1,623220
2015,01015,AL,1,623220
2016,01015,AL,1,623220
2009,01021,AL,2,623220
2010,01021,AL,1,623220
2011,01021,AL,1,623220
2009,01025,AL,1,623220
2012,01027,AL,1,623220
2013,01027,AL,1,623220
2014,01027,AL,2,623220
2015,01027,AL,2,623220
2016,01027,AL,1,623220
2009,01031,AL,1,623220
2010,01031,AL,2,623220
2011,01031,AL,2,623220
2012,01031,AL,2,623220
2013,01031,AL,2,623220
2014,01031,AL,2,623220
2015,01031,AL,1,623220
2016,01031,AL,1,623220
2012,01033,AL,1,623220
2013,01033,AL,1,623220
2014,01033,AL,1,623220
2015,01033,AL,1,623220
2016,01033,AL,1,623220
2009,01035,AL,1,623220
2011,01037,AL,1,623220
2012,01037,AL,1,623220
2013,01037,AL,1,623220
2014,01037,AL,1,623220
2015,01037,AL,1,623220
2016,01037,AL,1,623220
2009,01043,AL,2,623220
2010,01043,AL,1,623220
2011,01043,AL,1,623220
2012,01043,AL,1,623220
2013,01043,AL,1,623220
2014,01043,AL,1,623220
2015,01043,AL,1,623220
2016,01043,AL,1,623220
2009,01045,AL,2,623220
2009,01047,AL,2,623220
2010,01047,AL,2,623220
2011,01047,AL,2,623220
2009,01049,AL,1,623220
2012,01049,AL,1,623220
2013,01049,AL,2,623220
2014,01049,AL,2,623220
2015,01049,AL,2,623220
2016,01049,AL,2,623220
2016,01053,AL,2,623220
2009,01055,AL,3,623220
2010,01055,AL,3,623220
2011,01055,AL,4,623220
2012,01055,AL,3,623220
2013,01055,AL,3,623220
2014,01055,AL,2,623220
2015,01055,AL,2,623220
2016,01055,AL,2,623220
2009,01057,AL,4,623220
2010,01057,AL,3,623220
2011,01057,AL,3,623220
2012,01057,AL,3,623220
2013,01057,AL,3,623220
2014,01057,AL,4,623220
2015,01057,AL,4,623220
2016,01057,AL,4,623220
2009,01061,AL,1,623220
2009,01067,AL,1,623220
2009,01069,AL,8,623220
2010,01069,AL,1,623220
2011,01069,AL,2,623220
2012,01069,AL,1,623220
2013,01069,AL,1,623220
2014,01069,AL,1,623220
2015,01069,AL,1,623220
2016,01069,AL,1,623220
2012,01071,AL,1,623220
2013,01071,AL,1,623220
2014,01071,AL,1,623220
2015,01071,AL,1,623220
2016,01071,AL,1,623220
2009,01073,AL,10,623220
2010,01073,AL,11,623220
2011,01073,AL,11,623220
2012,01073,AL,10,623220
2013,01073,AL,10,623220
2014,01073,AL,11,623220
2015,01073,AL,11,623220
2016,01073,AL,12,623220
2009,01075,AL,2,623220
2010,01075,AL,1,623220
2011,01075,AL,1,623220
2012,01075,AL,1,623220
2013,01075,AL,1,623220
2014,01075,AL,1,623220
2015,01075,AL,1,623220
2016,01075,AL,1,623220
2009,01079,AL,1,623220
2010,01079,AL,1,623220
2011,01079,AL,1,623220
2012,01079,AL,1,623220
2013,01079,AL,1,623220
2014,01079,AL,1,623220
2015,01079,AL,1,623220
2016,01079,AL,1,623220
2009,01081,AL,2,623220
2014,01083,AL,1,623220
2015,01083,AL,1,623220
2016,01083,AL,1,623220
2009,01087,AL,1,623220
2010,01087,AL,1,623220
2011,01087,AL,1,623220
2012,01087,AL,1,623220
2013,01087,AL,1,623220
2014,01087,AL,1,623220
2015,01087,AL,1,623220
2016,01087,AL,1,623220
2009,01089,AL,8,623220
2010,01089,AL,9,623220
2011,01089,AL,9,623220
2012,01089,AL,8,623220
2013,01089,AL,8,623220
2014,01089,AL,8,623220
2015,01089,AL,8,623220
2016,01089,AL,11,623220
2013,01091,AL,1,623220
2014,01091,AL,1,623220
2015,01091,AL,1,623220
2016,01091,AL,1,623220
2009,01093,AL,4,623220
2010,01093,AL,4,623220
2011,01093,AL,4,623220
2012,01093,AL,4,623220
2013,01093,AL,4,623220
2014,01093,AL,4,623220
2015,01093,AL,4,623220
2016,01093,AL,4,623220
2009,01095,AL,1,623220
2010,01095,AL,1,623220
2011,01095,AL,1,623220
2012,01095,AL,3,623220
2013,01095,AL,3,623220
2014,01095,AL,3,623220
2015,01095,AL,3,623220
2016,01095,AL,3,623220
2009,01097,AL,8,623220
2010,01097,AL,6,623220
2011,01097,AL,6,623220
2012,01097,AL,7,623220
2013,01097,AL,7,623220
2014,01097,AL,6,623220
2015,01097,AL,22,623220
2016,01097,AL,23,623220
2009,01101,AL,1,623220
2010,01101,AL,2,623220
2011,01101,AL,1,623220
2012,01101,AL,2,623220
2013,01101,AL,2,623220
2014,01101,AL,2,623220
2015,01101,AL,2,623220
2016,01101,AL,3,623220
2009,01103,AL,1,623220
2012,01107,AL,1,623220
2013,01107,AL,1,623220
2014,01107,AL,1,623220
2015,01107,AL,1,623220
2016,01107,AL,1,623220
2009,01117,AL,3,623220
2010,01117,AL,1,623220
2011,01117,AL,1,623220
2012,01117,AL,1,623220
2013,01117,AL,1,623220
2014,01117,AL,1,623220
2009,01121,AL,11,623220
2010,01121,AL,11,623220
2011,01121,AL,11,623220
2012,01121,AL,3,623220
2013,01121,AL,3,623220
2014,01121,AL,5,623220
2015,01121,AL,5,623220
2016,01121,AL,2,623220
2009,01123,AL,1,623220
2010,01123,AL,1,623220
2011,01123,AL,1,623220
2012,01123,AL,1,623220
2013,01123,AL,1,623220
2014,01123,AL,1,623220
2015,01123,AL,1,623220
2016,01123,AL,1,623220
2009,01125,AL,2,623220
2010,01125,AL,2,623220
2011,01125,AL,2,623220
2012,01125,AL,3,623220
2013,01125,AL,3,623220
2014,01125,AL,3,623220
2015,01125,AL,5,623220
2016,01125,AL,3,623220
2009,01127,AL,3,623220
2010,01127,AL,3,623220
2011,01127,AL,3,623220
2012,01127,AL,4,623220
2013,01127,AL,4,623220
2014,01127,AL,3,623220
2015,01127,AL,3,623220
2016,01127,AL,3,623220
2009,01133,AL,1,623220
2010,01133,AL,1,623220
2011,01133,AL,1,623220
2012,01133,AL,1,623220
2013,01133,AL,1,623220
2014,01133,AL,1,623220
2015,01133,AL,1,623220
2016,01133,AL,1,623220
2009,02020,AK,10,623220
2010,02020,AK,10,623220
2011,02020,AK,11,623220
2012,02020,AK,11,623220
2013,02020,AK,13,623220
2014,02020,AK,14,623220
2015,02020,AK,13,623220
2016,02020,AK,13,623220
2011,02050,AK,5,623220
2012,02050,AK,4,623220
2013,02050,AK,4,623220
2014,02050,AK,3,623220
2015,02050,AK,3,623220
2016,02050,AK,3,623220
2009,02090,AK,5,623220
2010,02090,AK,5,623220
2011,02090,AK,5,623220
2012,02090,AK,5,623220
2013,02090,AK,6,623220
2014,02090,AK,7,623220
2015,02090,AK,7,623220
2016,02090,AK,5,623220
2012,02110,AK,3,623220
2013,02110,AK,3,623220
2014,02110,AK,4,623220
2015,02110,AK,4,623220
2016,02110,AK,4,623220
2012,02122,AK,1,623220
2013,02122,AK,1,623220
2014,02122,AK,1,623220
2015,02122,AK,1,623220
2016,02122,AK,1,623220
2012,02130,AK,1,623220
2013,02130,AK,1,623220
2014,02130,AK,1,623220
2015,02130,AK,1,623220
2016,02130,AK,1,623220
2009,02170,AK,2,623220
2010,02170,AK,2,623220
2011,02170,AK,2,623220
2012,02170,AK,1,623220
2013,02170,AK,1,623220
2014,02170,AK,1,623220
2015,02170,AK,1,623220
2016,02170,AK,1,623220
2009,04003,AZ,4,623220
2010,04003,AZ,4,623220
2011,04003,AZ,3,623220
2012,04003,AZ,6,623220
2013,04003,AZ,3,623220
2014,04003,AZ,3,623220
2015,04003,AZ,3,623220
2016,04003,AZ,3,623220
2009,04005,AZ,1,623220
2010,04005,AZ,2,623220
2011,04005,AZ,2,623220
2012,04005,AZ,1,623220
2013,04005,AZ,6,623220
2014,04005,AZ,6,623220
2015,04005,AZ,7,623220
2016,04005,AZ,7,623220
2009,04007,AZ,1,623220
2010,04007,AZ,2,623220
2011,04007,AZ,2,623220
2012,04007,AZ,6,623220
2013,04007,AZ,4,623220
2014,04007,AZ,3,623220
2015,04007,AZ,3,623220
2016,04007,AZ,3,623220
2009,04013,AZ,62,623220
2010,04013,AZ,117,623220
2011,04013,AZ,115,623220
2012,04013,AZ,99,623220
2013,04013,AZ,96,623220
2014,04013,AZ,100,623220
2015,04013,AZ,104,623220
2016,04013,AZ,122,623220
2009,04015,AZ,4,623220
2010,04015,AZ,3,623220
2011,04015,AZ,4,623220
2012,04015,AZ,5,623220
2013,04015,AZ,5,623220
2014,04015,AZ,5,623220
2015,04015,AZ,5,623220
2016,04015,AZ,4,623220
2009,04017,AZ,1,623220
2010,04017,AZ,1,623220
2011,04017,AZ,1,623220
2012,04017,AZ,4,623220
2013,04017,AZ,2,623220
2014,04017,AZ,2,623220
2015,04017,AZ,3,623220
2016,04017,AZ,4,623220
2009,04019,AZ,29,623220
2010,04019,AZ,28,623220
2011,04019,AZ,29,623220
2012,04019,AZ,39,623220
2013,04019,AZ,37,623220
2014,04019,AZ,27,623220
2015,04019,AZ,31,623220
2016,04019,AZ,34,623220
2009,04021,AZ,7,623220
2010,04021,AZ,7,623220
2011,04021,AZ,5,623220
2012,04021,AZ,11,623220
2013,04021,AZ,9,623220
2014,04021,AZ,8,623220
2015,04021,AZ,8,623220
2016,04021,AZ,10,623220
2009,04025,AZ,7,623220
2010,04025,AZ,7,623220
2011,04025,AZ,9,623220
2012,04025,AZ,11,623220
2013,04025,AZ,16,623220
2014,04025,AZ,23,623220
2015,04025,AZ,30,623220
2016,04025,AZ,31,623220
2009,04027,AZ,3,623220
2010,04027,AZ,1,623220
2011,04027,AZ,1,623220
2013,04027,AZ,1,623220
2014,04027,AZ,2,623220
2015,04027,AZ,2,623220
2016,04027,AZ,1,623220
2009,05005,AR,1,623220
2010,05005,AR,1,623220
2011,05005,AR,1,623220
2012,05005,AR,1,623220
2013,05005,AR,1,623220
2014,05005,AR,1,623220
2015,05005,AR,1,623220
2016,05005,AR,1,623220
2009,05007,AR,2,623220
2010,05007,AR,2,623220
2011,05007,AR,2,623220
2014,05007,AR,1,623220
2015,05007,AR,1,623220
2016,05007,AR,1,623220
2010,05023,AR,1,623220
2011,05023,AR,1,623220
2009,05027,AR,1,623220
2010,05027,AR,1,623220
2011,05027,AR,1,623220
2012,05027,AR,1,623220
2013,05027,AR,1,623220
2014,05027,AR,1,623220
2015,05027,AR,1,623220
2016,05027,AR,1,623220
2009,05029,AR,1,623220
2010,05029,AR,1,623220
2011,05029,AR,1,623220
2009,05031,AR,2,623220
2010,05031,AR,2,623220
2011,05031,AR,2,623220
2012,05031,AR,3,623220
2013,05031,AR,3,623220
2014,05031,AR,3,623220
2015,05031,AR,3,623220
2016,05031,AR,3,623220
2009,05033,AR,1,623220
2010,05033,AR,1,623220
2011,05033,AR,1,623220
2009,05035,AR,2,623220
2010,05035,AR,2,623220
2011,05035,AR,2,623220
2012,05035,AR,2,623220
2013,05035,AR,2,623220
2014,05035,AR,2,623220
2015,05035,AR,2,623220
2016,05035,AR,2,623220
2009,05043,AR,1,623220
2010,05043,AR,1,623220
2011,05043,AR,1,623220
2012,05043,AR,1,623220
2013,05043,AR,1,623220
2014,05043,AR,1,623220
2015,05043,AR,1,623220
2016,05043,AR,1,623220
2009,05051,AR,2,623220
2010,05051,AR,2,623220
2011,05051,AR,2,623220
2012,05051,AR,4,623220
2013,05051,AR,4,623220
2014,05051,AR,3,623220
2015,05051,AR,4,623220
2016,05051,AR,4,623220
2009,05055,AR,1,623220
2010,05055,AR,1,623220
2011,05055,AR,1,623220
2012,05055,AR,1,623220
2013,05055,AR,1,623220
2014,05055,AR,1,623220
2015,05055,AR,1,623220
2016,05055,AR,1,623220
2009,05057,AR,1,623220
2010,05057,AR,1,623220
2011,05057,AR,1,623220
2012,05057,AR,2,623220
2013,05057,AR,2,623220
2014,05057,AR,2,623220
2015,05057,AR,2,623220
2016,05057,AR,2,623220
2009,05059,AR,2,623220
2010,05059,AR,2,623220
2011,05059,AR,2,623220
2012,05059,AR,1,623220
2013,05059,AR,1,623220
2014,05059,AR,1,623220
2015,05059,AR,1,623220
2016,05059,AR,1,623220
2009,05063,AR,1,623220
2010,05063,AR,1,623220
2011,05063,AR,1,623220
2012,05063,AR,1,623220
2013,05063,AR,1,623220
2014,05063,AR,1,623220
2014,05069,AR,1,623220
2015,05069,AR,1,623220
2016,05069,AR,1,623220
2014,05075,AR,1,623220
2015,05075,AR,1,623220
2016,05075,AR,1,623220
2009,05085,AR,1,623220
2010,05085,AR,1,623220
2011,05085,AR,1,623220
2012,05085,AR,1,623220
2013,05085,AR,1,623220
2014,05085,AR,1,623220
2015,05085,AR,1,623220
2016,05085,AR,1,623220
2009,05091,AR,1,623220
2010,05091,AR,1,623220
2011,05091,AR,1,623220
2012,05091,AR,1,623220
2013,05091,AR,1,623220
2014,05091,AR,1,623220
2015,05091,AR,1,623220
2016,05091,AR,1,623220
2009,05093,AR,1,623220
2010,05093,AR,1,623220
2011,05093,AR,1,623220
2012,05093,AR,1,623220
2013,05093,AR,1,623220
2014,05093,AR,1,623220
2015,05093,AR,1,623220
2016,05093,AR,1,623220
2009,05097,AR,1,623220
2010,05097,AR,1,623220
2011,05097,AR,1,623220
2009,05099,AR,1,623220
2010,05099,AR,1,623220
2011,05099,AR,1,623220
2012,05099,AR,2,623220
2013,05099,AR,2,623220
2014,05099,AR,2,623220
2015,05099,AR,2,623220
2016,05099,AR,2,623220
2009,05105,AR,1,623220
2010,05105,AR,1,623220
2011,05105,AR,1,623220
2012,05105,AR,1,623220
2013,05105,AR,2,623220
2014,05105,AR,2,623220
2015,05105,AR,2,623220
2016,05105,AR,2,623220
2016,05111,AR,1,623220
2014,05115,AR,1,623220
2015,05115,AR,1,623220
2016,05115,AR,1,623220
2009,05119,AR,21,623220
2010,05119,AR,21,623220
2011,05119,AR,21,623220
2012,05119,AR,21,623220
2013,05119,AR,21,623220
2014,05119,AR,19,623220
2015,05119,AR,19,623220
2016,05119,AR,17,623220
2009,05121,AR,1,623220
2010,05121,AR,1,623220
2011,05121,AR,1,623220
2012,05121,AR,1,623220
2013,05121,AR,1,623220
2014,05121,AR,1,623220
2015,05121,AR,1,623220
2016,05121,AR,1,623220
2009,05123,AR,2,623220
2010,05123,AR,2,623220
2011,05123,AR,2,623220
2012,05123,AR,2,623220
2013,05123,AR,2,623220
2014,05123,AR,2,623220
2015,05123,AR,2,623220
2016,05123,AR,2,623220
2009,05125,AR,2,623220
2010,05125,AR,2,623220
2011,05125,AR,4,623220
2012,05125,AR,1,623220
2013,05125,AR,1,623220
2014,05125,AR,1,623220
2015,05125,AR,1,623220
2016,05125,AR,1,623220
2009,05131,AR,5,623220
2010,05131,AR,5,623220
2011,05131,AR,5,623220
2012,05131,AR,3,623220
2013,05131,AR,3,623220
2014,05131,AR,2,623220
2015,05131,AR,2,623220
2016,05131,AR,2,623220
2009,05143,AR,1,623220
2010,05143,AR,1,623220
2011,05143,AR,1,623220
2012,05143,AR,1,623220
2013,05143,AR,1,623220
2014,05143,AR,1,623220
2015,05143,AR,1,623220
2016,05143,AR,2,623220
2010,05145,AR,1,623220
2012,05145,AR,2,623220
2013,05145,AR,2,623220
2014,05145,AR,2,623220
2015,05145,AR,1,623220
2016,05145,AR,1,623220
2009,06001,CA,42,623220
2010,06001,CA,41,623220
2011,06001,CA,46,623220
2012,06001,CA,50,623220
2013,06001,CA,55,623220
2014,06001,CA,52,623220
2015,06001,CA,49,623220
2016,06001,CA,52,623220
2009,06005,CA,1,623220
2012,06005,CA,1,623220
2009,06007,CA,7,623220
2010,06007,CA,7,623220
2011,06007,CA,6,623220
2012,06007,CA,7,623220
2013,06007,CA,5,623220
2014,06007,CA,4,623220
2015,06007,CA,4,623220
2016,06007,CA,5,623220
2012,06009,CA,1,623220
2013,06009,CA,1,623220
2014,06009,CA,1,623220
2015,06009,CA,1,623220
2016,06009,CA,2,623220
2009,06013,CA,24,623220
2010,06013,CA,26,623220
2011,06013,CA,27,623220
2012,06013,CA,25,623220
2013,06013,CA,29,623220
2014,06013,CA,27,623220
2015,06013,CA,29,623220
2016,06013,CA,30,623220
2011,06015,CA,1,623220
2012,06015,CA,1,623220
2009,06017,CA,6,623220
2010,06017,CA,6,623220
2011,06017,CA,6,623220
2012,06017,CA,3,623220
2013,06017,CA,3,623220
2014,06017,CA,3,623220
2015,06017,CA,4,623220
2016,06017,CA,3,623220
2009,06019,CA,23,623220
2010,06019,CA,21,623220
2011,06019,CA,19,623220
2012,06019,CA,21,623220
2013,06019,CA,26,623220
2014,06019,CA,27,623220
2015,06019,CA,27,623220
2016,06019,CA,30,623220
2009,06023,CA,6,623220
2010,06023,CA,5,623220
2011,06023,CA,5,623220
2012,06023,CA,3,623220
2013,06023,CA,5,623220
2014,06023,CA,5,623220
2015,06023,CA,6,623220
2016,06023,CA,4,623220
2009,06025,CA,2,623220
2010,06025,CA,2,623220
2011,06025,CA,2,623220
2012,06025,CA,2,623220
2013,06025,CA,2,623220
2014,06025,CA,2,623220
2015,06025,CA,2,623220
2016,06025,CA,2,623220
2009,06029,CA,18,623220
2010,06029,CA,20,623220
2011,06029,CA,20,623220
2012,06029,CA,22,623220
2013,06029,CA,21,623220
2014,06029,CA,23,623220
2015,06029,CA,22,623220
2016,06029,CA,24,623220
2009,06031,CA,1,623220
2010,06031,CA,2,623220
2011,06031,CA,2,623220
2012,06031,CA,3,623220
2013,06031,CA,3,623220
2014,06031,CA,3,623220
2015,06031,CA,3,623220
2016,06031,CA,5,623220
2009,06033,CA,3,623220
2010,06033,CA,4,623220
2011,06033,CA,4,623220
2012,06033,CA,3,623220
2013,06033,CA,3,623220
2014,06033,CA,3,623220
2015,06033,CA,3,623220
2016,06033,CA,3,623220
2009,06037,CA,215,623220
2010,06037,CA,206,623220
2011,06037,CA,201,623220
2012,06037,CA,248,623220
2013,06037,CA,256,623220
2014,06037,CA,275,623220
2015,06037,CA,286,623220
2016,06037,CA,309,623220
2009,06039,CA,1,623220
2010,06039,CA,1,623220
2011,06039,CA,1,623220
2014,06039,CA,1,623220
2015,06039,CA,1,623220
2016,06039,CA,2,623220
2009,06041,CA,24,623220
2010,06041,CA,24,623220
2011,06041,CA,25,623220
2012,06041,CA,23,623220
2013,06041,CA,22,623220
2014,06041,CA,23,623220
2015,06041,CA,29,623220
2016,06041,CA,28,623220
2009,06045,CA,5,623220
2010,06045,CA,4,623220
2011,06045,CA,4,623220
2014,06045,CA,1,623220
2015,06045,CA,1,623220
2016,06045,CA,1,623220
2009,06047,CA,2,623220
2010,06047,CA,2,623220
2011,06047,CA,6,623220
2012,06047,CA,2,623220
2013,06047,CA,2,623220
2014,06047,CA,2,623220
2015,06047,CA,2,623220
2016,06047,CA,2,623220
2009,06053,CA,12,623220
2010,06053,CA,11,623220
2011,06053,CA,11,623220
2012,06053,CA,13,623220
2013,06053,CA,13,623220
2014,06053,CA,14,623220
2015,06053,CA,16,623220
2016,06053,CA,19,623220
2009,06055,CA,10,623220
2010,06055,CA,8,623220
2011,06055,CA,8,623220
2012,06055,CA,6,623220
2013,06055,CA,7,623220
2014,06055,CA,7,623220
2015,06055,CA,10,623220
2016,06055,CA,8,623220
2009,06057,CA,1,623220
2009,06059,CA,49,623220
2010,06059,CA,44,623220
2011,06059,CA,46,623220
2012,06059,CA,57,623220
2013,06059,CA,63,623220
2014,06059,CA,66,623220
2015,06059,CA,82,623220
2016,06059,CA,113,623220
2009,06061,CA,2,623220
2010,06061,CA,3,623220
2011,06061,CA,6,623220
2012,06061,CA,5,623220
2013,06061,CA,5,623220
2014,06061,CA,4,623220
2015,06061,CA,4,623220
2016,06061,CA,5,623220
2009,06065,CA,28,623220
2010,06065,CA,27,623220
2011,06065,CA,28,623220
2012,06065,CA,28,623220
2013,06065,CA,33,623220
2014,06065,CA,34,623220
2015,06065,CA,37,623220
2016,06065,CA,40,623220
2009,06067,CA,30,623220
2010,06067,CA,29,623220
2011,06067,CA,29,623220
2012,06067,CA,35,623220
2013,06067,CA,38,623220
2014,06067,CA,39,623220
2015,06067,CA,38,623220
2016,06067,CA,42,623220
2009,06071,CA,19,623220
2010,06071,CA,18,623220
2011,06071,CA,22,623220
2012,06071,CA,24,623220
2013,06071,CA,22,623220
2014,06071,CA,21,623220
2015,06071,CA,25,623220
2016,06071,CA,25,623220
2009,06073,CA,73,623220
2010,06073,CA,74,623220
2011,06073,CA,76,623220
2012,06073,CA,77,623220
2013,06073,CA,76,623220
2014,06073,CA,77,623220
2015,06073,CA,78,623220
2016,06073,CA,86,623220
2009,06075,CA,65,623220
2010,06075,CA,63,623220
2011,06075,CA,62,623220
2012,06075,CA,52,623220
2013,06075,CA,46,623220
2014,06075,CA,44,623220
2015,06075,CA,43,623220
2016,06075,CA,44,623220
2009,06077,CA,10,623220
2010,06077,CA,11,623220
2011,06077,CA,14,623220
2012,06077,CA,18,623220
2013,06077,CA,17,623220
2014,06077,CA,18,623220
2015,06077,CA,20,623220
2016,06077,CA,21,623220
2009,06079,CA,5,623220
2010,06079,CA,6,623220
2011,06079,CA,6,623220
2012,06079,CA,4,623220
2013,06079,CA,4,623220
2014,06079,CA,5,623220
2015,06079,CA,6,623220
2016,06079,CA,8,623220
2009,06081,CA,29,623220
2010,06081,CA,26,623220
2011,06081,CA,28,623220
2012,06081,CA,33,623220
2013,06081,CA,35,623220
2014,06081,CA,33,623220
2015,06081,CA,29,623220
2016,06081,CA,29,623220
2009,06083,CA,11,623220
2010,06083,CA,11,623220
2011,06083,CA,12,623220
2012,06083,CA,10,623220
2013,06083,CA,10,623220
2014,06083,CA,9,623220
2015,06083,CA,10,623220
2016,06083,CA,11,623220
2009,06085,CA,43,623220
2010,06085,CA,43,623220
2011,06085,CA,45,623220
2012,06085,CA,46,623220
2013,06085,CA,48,623220
2014,06085,CA,48,623220
2015,06085,CA,43,623220
2016,06085,CA,46,623220
2009,06087,CA,10,623220
2010,06087,CA,11,623220
2011,06087,CA,12,623220
2012,06087,CA,13,623220
2013,06087,CA,14,623220
2014,06087,CA,14,623220
2015,06087,CA,15,623220
2016,06087,CA,16,623220
2009,06089,CA,7,623220
2010,06089,CA,4,623220
2011,06089,CA,7,623220
2012,06089,CA,6,623220
2013,06089,CA,6,623220
2014,06089,CA,6,623220
2015,06089,CA,5,623220
2016,06089,CA,5,623220
2009,06095,CA,24,623220
2010,06095,CA,28,623220
2011,06095,CA,22,623220
2012,06095,CA,15,623220
2013,06095,CA,15,623220
2014,06095,CA,14,623220
2015,06095,CA,14,623220
2016,06095,CA,19,623220
2009,06097,CA,16,623220
2010,06097,CA,16,623220
2011,06097,CA,18,623220
2012,06097,CA,26,623220
2013,06097,CA,26,623220
2014,06097,CA,27,623220
2015,06097,CA,26,623220
2016,06097,CA,26,623220
2009,06099,CA,10,623220
2010,06099,CA,11,623220
2011,06099,CA,12,623220
2012,06099,CA,16,623220
2013,06099,CA,16,623220
2014,06099,CA,16,623220
2015,06099,CA,17,623220
2016,06099,CA,18,623220
2009,06101,CA,2,623220
2010,06101,CA,2,623220
2011,06101,CA,2,623220
2012,06101,CA,3,623220
2013,06101,CA,3,623220
2014,06101,CA,3,623220
2015,06101,CA,4,623220
2016,06101,CA,4,623220
2009,06103,CA,3,623220
2010,06103,CA,3,623220
2011,06103,CA,2,623220
2012,06103,CA,2,623220
2013,06103,CA,2,623220
2014,06103,CA,1,623220
2015,06103,CA,1,623220
2016,06103,CA,1,623220
2009,06107,CA,7,623220
2010,06107,CA,7,623220
2011,06107,CA,5,623220
2012,06107,CA,4,623220
2013,06107,CA,5,623220
2014,06107,CA,5,623220
2015,06107,CA,5,623220
2016,06107,CA,7,623220
2016,06109,CA,1,623220
2009,06111,CA,16,623220
2010,06111,CA,13,623220
2011,06111,CA,16,623220
2012,06111,CA,19,623220
2013,06111,CA,18,623220
2014,06111,CA,25,623220
2015,06111,CA,20,623220
2016,06111,CA,23,623220
2009,06113,CA,2,623220
2010,06113,CA,2,623220
2011,06113,CA,2,623220
2012,06113,CA,5,623220
2013,06113,CA,4,623220
2014,06113,CA,5,623220
2015,06113,CA,5,623220
2016,06113,CA,6,623220
2009,06115,CA,1,623220
2011,06115,CA,1,623220
2012,06115,CA,2,623220
2013,06115,CA,2,623220
2014,06115,CA,2,623220
2015,06115,CA,2,623220
2016,06115,CA,2,623220
2009,08001,CO,2,623220
2010,08001,CO,2,623220
2011,08001,CO,2,623220
2012,08001,CO,3,623220
2013,08001,CO,4,623220
2014,08001,CO,4,623220
2015,08001,CO,5,623220
2016,08001,CO,5,623220
2010,08003,CO,1,623220
2011,08003,CO,1,623220
2012,08003,CO,1,623220
2013,08003,CO,1,623220
2014,08003,CO,1,623220
2015,08003,CO,1,623220
2016,08003,CO,1,623220
2009,08005,CO,4,623220
2010,08005,CO,4,623220
2011,08005,CO,4,623220
2012,08005,CO,7,623220
2013,08005,CO,8,623220
2014,08005,CO,8,623220
2015,08005,CO,8,623220
2016,08005,CO,8,623220
2009,08013,CO,3,623220
2010,08013,CO,4,623220
2011,08013,CO,5,623220
2012,08013,CO,9,623220
2013,08013,CO,7,623220
2014,08013,CO,7,623220
2015,08013,CO,7,623220
2016,08013,CO,7,623220
2009,08019,CO,1,623220
2011,08019,CO,1,623220
2012,08019,CO,1,623220
2013,08029,CO,1,623220
2014,08029,CO,1,623220
2015,08029,CO,1,623220
2016,08029,CO,1,623220
2009,08031,CO,9,623220
2010,08031,CO,9,623220
2011,08031,CO,8,623220
2012,08031,CO,18,623220
2013,08031,CO,18,623220
2014,08031,CO,21,623220
2015,08031,CO,17,623220
2016,08031,CO,18,623220
2009,08035,CO,3,623220
2010,08035,CO,3,623220
2011,08035,CO,2,623220
2012,08035,CO,2,623220
2013,08035,CO,2,623220
2014,08035,CO,2,623220
2015,08035,CO,3,623220
2016,08035,CO,3,623220
2009,08037,CO,1,623220
2010,08037,CO,1,623220
2011,08037,CO,1,623220
2012,08037,CO,1,623220
2013,08037,CO,1,623220
2009,08039,CO,1,623220
2010,08039,CO,1,623220
2011,08039,CO,1,623220
2009,08041,CO,5,623220
2010,08041,CO,5,623220
2011,08041,CO,6,623220
2012,08041,CO,7,623220
2013,08041,CO,5,623220
2014,08041,CO,5,623220
2015,08041,CO,6,623220
2016,08041,CO,7,623220
2013,08043,CO,1,623220
2014,08043,CO,1,623220
2015,08043,CO,1,623220
2016,08043,CO,1,623220
2013,08045,CO,3,623220
2014,08045,CO,3,623220
2015,08045,CO,3,623220
2016,08045,CO,3,623220
2009,08059,CO,9,623220
2010,08059,CO,9,623220
2011,08059,CO,10,623220
2012,08059,CO,16,623220
2013,08059,CO,14,623220
2014,08059,CO,12,623220
2015,08059,CO,11,623220
2016,08059,CO,14,623220
2009,08067,CO,4,623220
2010,08067,CO,4,623220
2011,08067,CO,4,623220
2012,08067,CO,2,623220
2013,08067,CO,2,623220
2014,08067,CO,2,623220
2015,08067,CO,2,623220
2016,08067,CO,2,623220
2009,08069,CO,6,623220
2010,08069,CO,6,623220
2011,08069,CO,7,623220
2012,08069,CO,11,623220
2013,08069,CO,11,623220
2014,08069,CO,11,623220
2015,08069,CO,10,623220
2016,08069,CO,10,623220
2014,08075,CO,1,623220
2015,08075,CO,1,623220
2016,08075,CO,1,623220
2009,08077,CO,1,623220
2010,08077,CO,1,623220
2011,08077,CO,2,623220
2012,08077,CO,3,623220
2013,08077,CO,3,623220
2014,08077,CO,1,623220
2015,08077,CO,2,623220
